SendDate,Solar Power (kW),Solar energy Generation (kWh),consumptionValue (kW)
07/04/2024 05:32,144,0.92,0.36
07/04/2024 05:38,145,0.28,0.42
07/04/2024 05:45,145,0.35,0.36
07/04/2024 05:51,145,0.73,0.36
07/04/2024 05:58,143,0.1,0.39
07/04/2024 06:04,145,0.2,0.43
07/04/2024 06:09,145,0.53,0.43
07/04/2024 06:14,145,0.12,0.44
07/04/2024 06:19,144,0.22,0.39
07/04/2024 06:26,144,0.68,0.36
07/04/2024 06:35,144,0.52,0.36
07/04/2024 06:42,144,0.12,0.35
07/04/2024 06:50,144,0.76,0.42
07/04/2024 06:56,144,0.56,0.36
07/04/2024 07:03,144,0.21,0.4
07/04/2024 07:11,144,0.1,0.41
07/04/2024 07:16,144,0.42,0.36
07/04/2024 07:21,145,0.15,0.39
07/04/2024 07:29,144,0.71,0.42
07/04/2024 07:37,143,0.38,0.43
07/04/2024 07:43,144,0.84,0.45
07/04/2024 07:50,144,0.99,0.43
07/04/2024 07:55,143,0.34,0.35
07/04/2024 08:04,145,0.86,0.4
07/04/2024 08:11,143,0.44,0.38
07/04/2024 08:18,145,0.86,0.36
07/04/2024 08:27,144,0.97,0.39
07/04/2024 08:34,144,0.03,0.36
07/04/2024 08:43,145,0.39,0.43
07/04/2024 08:48,144,0.96,0.44
07/04/2024 08:53,145,0.01,0.4
07/04/2024 09:00,145,0.3,0.43
07/04/2024 09:06,143,0.13,0.41
07/04/2024 09:12,145,0.67,0.4
07/04/2024 09:17,145,0.58,0.4
07/04/2024 09:22,144,0.15,0.43
07/04/2024 09:27,143,0.91,0.39
07/04/2024 09:33,144,0.51,0.41
07/04/2024 09:40,143,0.39,0.39
07/04/2024 09:49,143,0.65,0.41
07/04/2024 09:58,144,0.81,0.44
07/04/2024 10:03,144,0.79,0.44
07/04/2024 10:12,145,0.75,0.41
07/04/2024 10:20,145,0.55,0.42
07/04/2024 10:25,143,0.3,0.41
07/04/2024 10:33,144,0.67,0.42
07/04/2024 10:39,144,0.02,0.44
07/04/2024 10:48,144,0.98,0.37
07/04/2024 10:57,145,0.44,0.35
07/04/2024 11:05,144,0.25,0.38
07/04/2024 11:10,145,0.12,0.4
07/04/2024 11:19,143,0.98,0.39
07/04/2024 11:27,143,0.32,0.41
07/04/2024 11:35,143,0.28,0.36
07/04/2024 11:42,145,0.76,0.43
07/04/2024 11:51,143,0.25,0.42
07/04/2024 11:59,143,0.12,0.43
07/04/2024 12:07,145,0.69,0.38
07/04/2024 12:13,144,0.77,0.42
07/04/2024 12:19,144,0.93,0.37
07/04/2024 12:27,143,0.43,0.38
07/04/2024 12:36,145,0.01,0.36
07/04/2024 12:42,145,0.96,0.44
07/04/2024 12:49,145,0.7,0.43
07/04/2024 12:55,143,0.07,0.42
07/04/2024 13:03,143,0.32,0.44
07/04/2024 13:10,143,0.09,0.41
07/04/2024 13:17,143,0.21,0.39
07/04/2024 13:24,145,0.63,0.39
07/04/2024 13:30,143,0.44,0.36
07/04/2024 13:38,145,0.98,0.38
07/04/2024 13:44,143,0.82,0.45
07/04/2024 13:49,143,0.07,0.39
07/04/2024 13:54,145,0.35,0.35
07/04/2024 14:01,143,0.84,0.38
07/04/2024 14:06,144,0.74,0.44
07/04/2024 14:12,143,0.29,0.41
07/04/2024 14:21,143,0.74,0.35
07/04/2024 14:27,143,0.65,0.42
07/04/2024 14:34,145,0.25,0.44
07/04/2024 14:43,143,0.43,0.44
07/04/2024 14:49,145,0.48,0.35
07/04/2024 14:57,144,0.63,0.39
07/04/2024 15:03,145,0.82,0.39
07/04/2024 15:09,144,0.32,0.43
07/04/2024 15:15,144,0.35,0.39
07/04/2024 15:24,143,0.34,0.35
07/04/2024 15:31,144,0.38,0.42
07/04/2024 15:40,145,0.73,0.44
07/04/2024 15:46,145,0.18,0.4
07/04/2024 15:53,143,0.09,0.38
07/04/2024 16:01,143,0.49,0.38
07/04/2024 16:10,145,0.26,0.38
07/04/2024 16:18,143,0.94,0.36
07/04/2024 16:25,145,0.13,0.4
07/04/2024 16:32,145,0.95,0.36
07/04/2024 16:40,144,0.16,0.37
07/04/2024 16:47,145,0.27,0.44
07/04/2024 16:56,145,0.87,0.42
07/04/2024 17:03,144,0.46,0.38
07/04/2024 17:11,144,0.4,0.39
07/04/2024 17:20,143,0.22,0.39
07/04/2024 17:26,144,0.34,0.41
07/04/2024 17:32,143,0.84,0.36
07/04/2024 17:38,144,0.14,0.38
07/04/2024 17:47,145,0.44,0.37
07/04/2024 17:56,143,0.7,0.39
07/04/2024 18:01,143,0.09,0.42
07/04/2024 18:09,143,0.82,0.42
07/04/2024 18:18,143,0.67,0.36
07/04/2024 18:23,144,0.23,0.4
07/04/2024 18:31,144,0.33,0.44
07/04/2024 18:36,143,0.39,0.36
07/04/2024 18:42,145,0.32,0.36
07/04/2024 18:51,144,0.0,0.38
07/04/2024 19:00,144,0.21,0.39
07/04/2024 19:08,145,0.66,0.38
07/04/2024 19:13,144,0.18,0.38
07/04/2024 19:22,145,0.81,0.44
07/04/2024 19:28,143,0.86,0.39
07/04/2024 19:37,145,0.14,0.36
07/04/2024 19:45,143,0.75,0.43
07/04/2024 19:53,143,0.25,0.42
07/04/2024 19:58,143,0.35,0.4
07/04/2024 20:03,145,0.97,0.41
07/04/2024 20:11,143,0.51,0.43
07/04/2024 20:20,143,0.13,0.43
07/04/2024 20:29,145,0.02,0.43
07/04/2024 20:36,145,0.52,0.38
07/04/2024 20:42,144,0.76,0.35
07/04/2024 20:49,143,0.55,0.39
07/04/2024 20:56,143,0.3,0.43
07/04/2024 21:05,144,0.87,0.37
07/04/2024 21:10,145,0.1,0.43
07/04/2024 21:16,143,0.16,0.44
07/04/2024 21:22,145,0.13,0.38
07/04/2024 21:28,145,0.84,0.43
07/04/2024 21:34,143,0.92,0.36
07/04/2024 21:40,143,0.68,0.44
07/04/2024 21:45,144,0.31,0.43
07/04/2024 21:53,145,0.38,0.42
07/04/2024 22:02,143,0.24,0.36
07/04/2024 22:09,143,0.35,0.41
07/04/2024 22:18,144,0.82,0.37
07/04/2024 22:27,144,0.12,0.42
07/04/2024 22:34,144,0.83,0.39
07/04/2024 22:41,145,0.36,0.42
07/04/2024 22:48,143,0.16,0.4
07/04/2024 22:53,144,0.3,0.42
07/04/2024 22:59,145,0.75,0.37
07/04/2024 23:05,143,0.66,0.39
07/04/2024 23:13,143,0.18,0.39
07/04/2024 23:20,145,0.86,0.39
07/04/2024 23:25,144,0.81,0.45
07/04/2024 23:33,145,0.54,0.41
07/04/2024 23:38,145,0.18,0.38
07/04/2024 23:46,144,0.76,0.38
07/04/2024 23:54,145,0.16,0.44
07/05/2024 00:00,143,0.73,0.42
07/05/2024 00:05,143,0.79,0.45
07/05/2024 00:12,145,0.37,0.41
07/05/2024 00:17,145,0.27,0.38
07/05/2024 00:23,143,0.88,0.43
07/05/2024 00:31,144,0.34,0.45
07/05/2024 00:37,145,0.26,0.43
07/05/2024 00:44,145,0.48,0.45
07/05/2024 00:49,144,0.24,0.42
07/05/2024 00:56,144,0.64,0.36
07/05/2024 01:03,144,0.54,0.38
07/05/2024 01:10,143,0.5,0.38
07/05/2024 01:15,143,0.98,0.37
07/05/2024 01:23,145,0.92,0.36
07/05/2024 01:28,144,0.61,0.38
07/05/2024 01:35,143,0.31,0.37
07/05/2024 01:44,145,0.71,0.37
07/05/2024 01:51,145,0.31,0.39
07/05/2024 01:58,143,0.5,0.41
07/05/2024 02:03,145,0.39,0.43
07/05/2024 02:12,144,0.02,0.38
07/05/2024 02:18,143,0.88,0.36
07/05/2024 02:24,145,0.46,0.4
07/05/2024 02:31,144,0.89,0.44
07/05/2024 02:36,144,0.35,0.36
07/05/2024 02:43,144,0.7,0.42
07/05/2024 02:52,143,0.27,0.43
07/05/2024 03:01,144,0.69,0.36
07/05/2024 03:08,144,0.3,0.38
07/05/2024 03:14,143,0.78,0.4
07/05/2024 03:21,144,0.04,0.38
07/05/2024 03:30,144,0.24,0.4
07/05/2024 03:37,145,0.36,0.42
07/05/2024 03:43,144,0.5,0.45
07/05/2024 03:51,143,0.82,0.41
07/05/2024 03:57,145,0.27,0.45
07/05/2024 04:02,145,0.75,0.44
07/05/2024 04:07,145,0.34,0.44
07/05/2024 04:13,143,0.16,0.36
07/05/2024 04:22,144,0.5,0.42
07/05/2024 04:31,144,0.6,0.42
07/05/2024 04:36,145,0.23,0.35
07/05/2024 04:41,143,0.89,0.37
07/05/2024 04:47,144,0.92,0.38
07/05/2024 04:56,143,0.15,0.4
07/05/2024 05:02,144,0.67,0.38
07/05/2024 05:09,145,0.94,0.37
07/05/2024 05:16,145,0.54,0.39
07/05/2024 05:22,144,0.19,0.41
07/05/2024 05:30,144,0.27,0.43
07/05/2024 05:36,145,0.29,0.37
07/05/2024 05:41,145,0.68,0.35
07/05/2024 05:46,144,0.48,0.41
07/05/2024 05:53,145,0.8,0.36
07/05/2024 06:02,143,0.21,0.44
07/05/2024 06:11,144,0.39,0.39
07/05/2024 06:18,143,0.55,0.42
07/05/2024 06:27,143,0.77,0.39
07/05/2024 06:32,144,0.95,0.37
07/05/2024 06:40,144,0.38,0.39
07/05/2024 06:46,143,0.91,0.44
07/05/2024 06:51,145,0.1,0.43
07/05/2024 06:56,143,0.28,0.43
07/05/2024 07:01,144,0.98,0.37
07/05/2024 07:10,143,0.72,0.4
07/05/2024 07:15,145,0.16,0.36
07/05/2024 07:24,145,0.47,0.41
07/05/2024 07:30,145,0.73,0.41
07/05/2024 07:37,145,0.28,0.42
07/05/2024 07:42,145,0.82,0.4
07/05/2024 07:51,143,0.4,0.43
07/05/2024 07:56,144,0.34,0.39
07/05/2024 08:05,145,0.84,0.36
07/05/2024 08:11,143,0.27,0.37
07/05/2024 08:16,145,0.48,0.42
07/05/2024 08:24,144,0.34,0.41
07/05/2024 08:33,144,0.33,0.45
07/05/2024 08:42,143,0.15,0.36
07/05/2024 08:51,144,0.45,0.37
07/05/2024 08:56,143,0.38,0.44
07/05/2024 09:05,143,0.65,0.35
07/05/2024 09:13,143,0.54,0.42
07/05/2024 09:18,145,0.97,0.37
07/05/2024 09:23,143,0.35,0.35
07/05/2024 09:30,144,0.72,0.43
07/05/2024 09:39,144,0.29,0.39
07/05/2024 09:44,144,0.48,0.38
07/05/2024 09:51,145,0.55,0.43
07/05/2024 09:57,144,0.03,0.37
07/05/2024 10:06,143,0.77,0.37
07/05/2024 10:14,145,0.45,0.42
07/05/2024 10:22,144,0.38,0.44
07/05/2024 10:29,144,0.47,0.35
07/05/2024 10:34,143,0.76,0.36
07/05/2024 10:43,143,0.35,0.36
07/05/2024 10:49,144,0.68,0.38
07/05/2024 10:54,144,0.82,0.42
07/05/2024 10:59,143,0.01,0.43
07/05/2024 11:04,143,0.61,0.39
07/05/2024 11:13,144,0.71,0.38
07/05/2024 11:18,145,0.14,0.41
07/05/2024 11:23,145,0.78,0.39
07/05/2024 11:30,145,0.52,0.41
07/05/2024 11:37,144,0.12,0.43
07/05/2024 11:46,144,0.62,0.36
07/05/2024 11:52,144,0.06,0.42
07/05/2024 12:01,143,0.04,0.37
07/05/2024 12:07,145,0.36,0.44
07/05/2024 12:15,145,0.52,0.38
07/05/2024 12:22,143,0.12,0.44
07/05/2024 12:30,145,0.69,0.4
07/05/2024 12:37,144,0.29,0.37
07/05/2024 12:46,143,0.83,0.43
07/05/2024 12:55,144,0.9,0.41
07/05/2024 13:01,143,0.62,0.37
07/05/2024 13:06,145,0.13,0.43
07/05/2024 13:11,143,0.69,0.44
07/05/2024 13:16,144,0.98,0.44
07/05/2024 13:25,145,0.47,0.37
07/05/2024 13:33,143,0.32,0.43
07/05/2024 13:40,144,0.19,0.36
07/05/2024 13:45,143,0.84,0.42
07/05/2024 13:50,144,0.79,0.36
07/05/2024 13:58,143,0.09,0.45
07/05/2024 14:03,145,0.98,0.41
07/05/2024 14:10,144,0.53,0.39
07/05/2024 14:18,143,0.71,0.4
07/05/2024 14:25,144,0.34,0.39
07/05/2024 14:32,145,0.06,0.43
07/05/2024 14:41,143,0.82,0.36
07/05/2024 14:48,143,0.65,0.43
07/05/2024 14:56,144,0.99,0.37
07/05/2024 15:04,143,0.33,0.4
07/05/2024 15:10,144,0.72,0.45
07/05/2024 15:19,144,0.18,0.36
07/05/2024 15:27,144,0.35,0.4
07/05/2024 15:32,145,0.85,0.4
07/05/2024 15:41,144,0.31,0.38
07/05/2024 15:49,144,0.66,0.45
07/05/2024 15:55,145,0.04,0.41
07/05/2024 16:02,144,0.24,0.36
07/05/2024 16:07,144,0.52,0.38
07/05/2024 16:14,143,0.99,0.44
07/05/2024 16:22,143,0.37,0.38
07/05/2024 16:27,144,0.39,0.44
07/05/2024 16:35,144,0.66,0.44
07/05/2024 16:40,144,0.12,0.35
07/05/2024 16:49,143,0.81,0.44
07/05/2024 16:58,143,0.19,0.44
07/05/2024 17:03,145,0.79,0.41
07/05/2024 17:11,145,0.6,0.42
07/05/2024 17:17,144,0.23,0.44
07/05/2024 17:22,143,0.16,0.36
07/05/2024 17:30,145,0.37,0.39
07/05/2024 17:37,144,0.64,0.44
07/05/2024 17:44,144,0.3,0.37
07/05/2024 17:52,143,0.15,0.42
07/05/2024 17:58,144,0.46,0.44
07/05/2024 18:04,144,0.92,0.43
07/05/2024 18:11,143,0.76,0.4
07/05/2024 18:20,145,0.29,0.41
07/05/2024 18:29,144,0.79,0.39
07/05/2024 18:37,143,0.26,0.38
07/05/2024 18:42,143,0.0,0.45
07/05/2024 18:51,145,0.41,0.36
07/05/2024 19:00,143,0.06,0.37
07/05/2024 19:09,143,0.91,0.43
07/05/2024 19:18,144,0.81,0.38
07/05/2024 19:27,143,0.69,0.37
07/05/2024 19:33,143,0.32,0.38
07/05/2024 19:40,143,0.71,0.37
07/05/2024 19:45,143,0.65,0.41
07/05/2024 19:52,143,0.95,0.45
07/05/2024 19:58,144,0.24,0.42
07/05/2024 20:03,144,0.01,0.36
07/05/2024 20:09,144,0.29,0.37
07/05/2024 20:17,143,0.51,0.43
07/05/2024 20:26,145,0.05,0.37
07/05/2024 20:34,145,0.34,0.43
